"","E2","Month","SP_Acct_Val","Return_Qty"
"64","E2-887","March",21.58,1
"65","E2-887","March",22.41,9
"66","E2-887","May",20.64,1
"67","E2-885","June",42.3,40
"68","E2-877","April",20.43,2
"69","E2-877","April",21,10
"70","E2-877","April",22.16,13
"71","E2-877","February",15.92,4
"72","E2-877","February",21.38,1
"73","E2-877","February",22.11,5
"74","E2-877","January",20.43,1
"75","E2-877","January",21.38,6
"76","E2-877","January",22.11,1
"77","E2-877","June",15.92,2
"78","E2-877","June",20.43,2
"79","E2-877","June",21.56,1
"80","E2-877","March",20.43,1
"81","E2-877","March",21.56,6
"82","E2-877","March",22.11,35
"83","E2-877","March",22.16,9
"84","E2-877","May",20.43,5
"85","E2-877","May",22.11,4
"86","E2-877","May",22.16,1
"87","E2-844","June",54.31,1
"88","E2-838","May",16.19,1
"89","E2-821","April",33.69,3
"90","E2-804","March",15.48,6
"91","E2-801","January",93.56,1
"92","E2-786","April",22.72,1
"93","E2-786","January",18.12,2
"94","E2-786","June",22.96,1
"95","E2-786","March",22.94,2
"96","E2-783","April",27.61,1
"97","E2-783","February",18.77,1
"98","E2-783","February",27.61,1
"99","E2-783","June",27.61,1
"100","E2-783","March",37.13,1
"101","E2-774","March",28.38,1
"102","E2-767","June",30.18,1
"103","E2-765","April",29.44,1
"104","E2-765","February",29.95,2
"105","E2-739","February",22.73,1
"106","E2-739","January",22.73,2
"107","E2-735","April",24.71,12
"108","E2-735","June",28.24,1
"109","E2-735","May",23.24,2
"110","E2-733","June",30.11,13
"111","E2-733","May",30.11,33
"112","E2-732","April",24,16
"113","E2-732","February",24,8
"114","E2-732","June",24,2
"115","E2-721","April",27.29,1
"116","E2-721","April",31.58,2
"117","E2-721","February",28.47,3
"118","E2-721","February",29.01,3
"119","E2-721","February",46.29,1
"120","E2-721","February",89.84,2
"121","E2-721","January",25.29,3
"122","E2-721","January",29.59,1
"123","E2-721","January",46.29,5
"124","E2-721","June",25.27,5
"125","E2-721","June",29.59,3
"126","E2-721","March",33.33,1
"127","E2-711","June",21.49,1
"128","E2-710","April",21.48,1
"129","E2-709","April",22.29,1
"130","E2-709","May",22.9,1
"131","E2-708","June",24.08,1
"132","E2-708","March",22.71,1
"133","E2-707","April",25.42,4
"134","E2-707","February",25.64,2
"135","E2-707","March",25.64,2
"136","E2-707","March",26.41,1
"137","E2-707","May",25.42,3
"138","E2-707","May",26.41,2
"139","E2-703","April",22.82,1
"140","E2-703","June",21.39,7
"141","E2-703","June",22.82,1
"142","E2-702","February",23.86,1
"143","E2-702","June",20.72,4
"144","E2-702","June",40.09,3
"145","E2-702","June",42.1,11
"146","E2-702","May",40.09,3
"147","E2-701","April",21.38,30
"148","E2-701","April",24.41,1
"149","E2-701","March",24.41,1
"150","E2-701","May",21.38,1
"151","E2-699","June",48.97,10
"152","E2-698","January",22.82,2
"153","E2-698","June",22.81,1
"154","E2-698","June",29.64,1
"155","E2-696","January",55.2,1
"156","E2-696","May",54.97,1
"157","E2-676","January",52.28,1
"158","E2-652","February",57.52,1
"159","E2-622","January",47.46,8
"160","E2-618","March",54.46,1
"161","E2-610","January",51.44,3
"162","E2-610","June",51.44,3
"163","E2-610","March",51.44,1
"164","E2-610","March",51.92,2
"165","E2-610","May",47.4,1
"166","E2-610","May",51.44,6
"167","E2-573","March",112.36,10
"168","E2-569","April",93.85,1
"169","E2-569","June",93.85,21
"170","E2-552","May",26.73,1
"171","E2-552","May",26.8,1
"172","E2-533","March",32.56,1
"173","E2-532","June",30.15,3
