Light Engines,January,,February,,March,,April,,May,,June,,July,,August,,September,,October,,November,,December,,Total,
,Qty ,Total Cost,Qty ,Total Cost,Qty ,Total Cost,Qty ,Total Cost,Qty ,Total Cost,Qty ,Total Cost,Qty ,Total Cost,Qty ,Total Cost,Qty ,Total Cost,Qty ,Total Cost,Qty ,Total Cost,Qty ,Total Cost,Qty ,Total Cost
LED-218-S00-30,0,$0.00 ,0,$0.00 ,0,$0.00 ,1,$42.35 ,0,$0.00 ,,,,,,,,,,,,,,,1,$42.35 
LED-219-S00-6022,0,$0.00 ,0,$0.00 ,18,$373.05 ,17,$352.33 ,0,$0.00 ,,,,,,,,,,,,,,,35,$725.38 
LED-230-H02-27,17,$452.18 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,,,,,,,,,,,,,,,17,$452.18 
LED-230-S02-30,0,$0.00 ,30,$797.97 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,,,,,,,,,,,,,,,30,$797.97 
LED-239-S00-30,1,$15.63 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,,,,,,,,,,,,,,,1,$15.63 
LED-240-H00-27,4,$62.84 ,2,$31.42 ,0,$0.00 ,3,$47.13 ,0,$0.00 ,,,,,,,,,,,,,,,9,$141.39 
LED-240-H00-30,0,$0.00 ,0,$0.00 ,16,$251.34 ,0,$0.00 ,2,$31.42 ,,,,,,,,,,,,,,,18,$282.76 
LED-240-H01-35,0,$0.00 ,1,$15.71 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,,,,,,,,,,,,,,,1,$15.71 
LED-240-H01-40,1,$15.71 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,,,,,,,,,,,,,,,1,$15.71 
LED-240-S00-27,11,$172.80 ,0,$0.00 ,8,$125.67 ,1,$15.71 ,2,$31.42 ,,,,,,,,,,,,,,,22,$345.60 
LED-240-S00-30,9,$141.38 ,5,$78.55 ,52,$816.87 ,41,$644.07 ,4,$62.84 ,,,,,,,,,,,,,,,111,"$1,743.71 "
LED-240-S00-35,12,$188.51 ,28,$439.85 ,71,"$1,115.34 ",0,$0.00 ,20,$314.18 ,,,,,,,,,,,,,,,131,"$2,057.88 "
LED-240-S00-40,7,$109.96 ,25,$392.73 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,,,,,,,,,,,,,,,32,$502.69 
LED-250-C00-A1,0,$0.00 ,0,$0.00 ,0,$0.00 ,4,$133.92 ,0,$0.00 ,,,,,,,,,,,,,,,4,$133.92 
