"","LED","Month","LEM_Acct_Val","Return_Qty"
"91","LED-275-S70-3522","September",29.11,1
"92","LED-275-S70-3022","August",29.11,5
"93","LED-275-S70-3022","October",29.11,3
"94","LED-275-S70-2722","December",29.11,3
"95","LED-275-S70-2722","October",29.11,4
"96","LED-275-S70-2722","September",29.11,4
"97","LED-275-S35-2722","October",29.11,1
"98","LED-275-H70-2722","February",29.11,1
"99","LED-275-H70-2722","January",29.11,1
"100","LED-275-H70-2722","March",29.11,3
"101","LED-275-H70-2722","October",29.11,3
"102","LED-275-H35-3022","February",29.11,2
"103","LED-275-H35-3022","January",29.11,1
"104","LED-274-S00-40","May",12.34,1
"105","LED-274-S00-35","January",12.34,1
"106","LED-274-S00-35","June",12.34,1
"107","LED-274-S00-35","March",12.34,1
"108","LED-274-S00-35","May",12.34,1
"109","LED-274-S00-30","April",12.34,2
"110","LED-274-S00-30","August",12.34,2
"111","LED-274-S00-30","February",12.34,1
"112","LED-274-S00-30","July",12.34,1
"113","LED-274-S00-30","June",12.34,4
"114","LED-274-S00-27","August",12.34,1
"115","LED-274-S00-27","January",12.34,1
"116","LED-274-S00-27","June",12.34,1
"117","LED-274-H00-35","March",12.34,4
"118","LED-274-H00-30","July",12.34,1
"119","LED-274-H00-30","November",12.34,1
"120","LED-274-H00-30","September",12.34,1
"121","LED-274-H00-27","January",12.34,4
"122","LED-274-H00-27","July",12.34,1
"123","LED-274-H00-27","November",12.34,1
"124","LED-274-H00-27","September",12.34,1
"125","LED-273-S00-RGB30","April",45.91,10
"126","LED-273-S00-RGB30","August",45.91,2
"127","LED-273-S00-RGB30","December",45.91,1
"128","LED-273-S00-RGB30","January",45.91,3
"129","LED-273-S00-RGB30","July",45.91,1
"130","LED-273-S00-RGB30","June",45.91,6
"131","LED-273-S00-RGB30","March",45.91,1
"132","LED-273-S00-RGB30","November",45.91,5
"133","LED-273-S00-RGB30","October",45.91,2
"134","LED-255-H00-30","August",15.15,1
"135","LED-240-S00-40","August",15.71,32
"136","LED-240-S00-40","February",15.71,1
"137","LED-240-S00-40","January",15.71,1
"138","LED-240-S00-40","July",15.71,2
"139","LED-240-S00-40","March",15.71,1
"140","LED-240-S00-40","November",15.71,15
"141","LED-240-S00-40","September",15.71,16
"142","LED-240-S00-35","April",15.71,82
"143","LED-240-S00-35","August",15.71,24
"144","LED-240-S00-35","December",15.71,71
"145","LED-240-S00-35","February",15.71,9
"146","LED-240-S00-35","January",15.71,135
"147","LED-240-S00-35","July",15.71,10
"148","LED-240-S00-35","June",15.71,45
"149","LED-240-S00-35","March",15.71,12
"150","LED-240-S00-35","May",15.71,21
"151","LED-240-S00-35","November",15.71,27
"152","LED-240-S00-35","October",15.71,82
"153","LED-240-S00-35","September",15.71,56
"154","LED-240-S00-30","April",15.71,34
"155","LED-240-S00-30","August",15.71,21
"156","LED-240-S00-30","December",15.71,30
