Item ID,Rev Level,Item Name
LED-231-H02-30,A,"LIGHT ENGINE-(7) CREE XML-2, 10DEG WIDE ARRAY 24- 33W, 1.0-1.4A HI CRI 3000K"
LED-231-S01-27,A,"LIGHT ENGINE-(7) CREE XML-2  10DEG WIDE ARRAY 12- 16W, .50-.70A STD CRI 2700K"
LED-231-S01-30,A,"LIGHT ENGINE-(7) CREE XML-2  10DEG WIDE ARRAY 12- 16W, .50-.70A STD CRI 3000K"
LED-231-S01-35,A,"LIGHT ENGINE-(7) CREE XML-2  10DEG WIDE ARRAY 12- 16W, .50-.70A STD CRI 3500K"
LED-231-S01-40,A,"LIGHT ENGINE-(7) CREE XML-2  10DEG WIDE ARRAY 12- 16W, .50-.70A STD CRI 4000K"
LED-231-S02-27,A,"LIGHT ENGINE-(7) CREE XML-2, 10DEG WIDE ARRAY 24- 33W, 1.0-1.4A STD CRI 2700K"
LED-231-S02-30,A,"LIGHT ENGINE-(7) CREE XML-2, 10DEG WIDE ARRAY 24- 33W, 1.0-1.4A STD CRI 3000K"
LED-231-S02-35,A,"LIGHT ENGINE-(7) CREE XML-2, 10DEG WIDE ARRAY 24- 33W, 1.0-1.4A STD CRI 3500K"
LED-231-S02-40,A,"LIGHT ENGINE-(7) CREE XML-2, 10DEG WIDE ARRAY 24- 33W, 1.0-1.4A STD CRI 4000K"
LED-232-S00-6022,B,"LIGHT ENGINE-(18/18) XPG-2/XPL 2X2 COLOR SELECT HO, STD CRI 6000-2200K"
LED-234-S00-2722,A,"LIGHT ENGINE (12/16) XPL WARM GLOW DIMMING HO 2X28V 40-80W, .70-1.3A STD CRI 2700-2200K"
LED-234-S00-3022,A,"LIGHT ENGINE (12/16) XPL WARM GLOW DIMMING HO 2X28V 40-80W, .70-1.3A STD CRI 3000-2200K"
LED-236-H00-27,D,LIGHT ENGINE - (18) CREE XML-2 WIDE ARRAY .70-1.3A 80+ HI CRI-2700K
LED-236-H00-30,D,LIGHT ENGINE - (18) CREE XML-2 WIDE ARRAY .70-1.3A 80+ HI CRI-3000K
LED-236-S00-27,D,LIGHT ENGINE - (18) CREE XML-2 WIDE ARRAY 2X28V .70-1.3A 80+ CRI -2700K
LED-236-S00-30,D,LIGHT ENGINE - (18) CREE XML-2 WIDE ARRAY 2X28V .70-1.3A 80+ CRI -3000K
LED-236-S00-35,D,LIGHT ENGINE - (18) CREE XML-2 WIDE ARRAY 2X28V .70-1.3A 80+ CRI -3500K
LED-236-S00-40,D,LIGHT ENGINE - (18) CREE XML-2 WIDE ARRAY .70-1.3A 80+ CRI -4000K
LED-236-S00-50,D,LIGHT ENGINE - (18) CREE XML-2 WIDE ARRAY .70-1.3A 80+ CRI -5000K
